,fullVisitorId,totals.transactionRevenue,totals.hits,totals.pageviews,visitNumber,visitStartTime,totals.bounces,totals.newVisits,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem,geoNetwork.city,geoNetwork.continent,geoNetwork.country,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.region,geoNetwork.subContinent,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.isTrueDirect
752,6.194193421514404e+18,37860000.0,11.0,11.0,1.0,1472843572.0,0.0,1.0,2,35,0,6,38,2,218,30,0,255,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
753,5.327166854580375e+18,306670000.0,11.0,10.0,3.0,1472844906.0,0.0,0.0,4,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,11,5,3196,208,1,0
799,8.885051388942907e+18,68030000.0,13.0,11.0,7.0,1472827393.0,0.0,0.0,6,35,0,6,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
802,1.8546763200973792e+17,26250000.0,13.0,12.0,6.0,1472846398.0,0.0,0.0,6,35,0,20,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
859,3.24488583684503e+18,574150000.0,17.0,14.0,4.0,1472824817.0,0.0,0.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
866,3.351538799616867e+18,8380000.0,17.0,17.0,2.0,1472855945.0,0.0,0.0,6,35,0,6,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
893,1.7766583551190922e+18,395730000.0,19.0,16.0,1.0,1472861525.0,0.0,1.0,2,72,0,7,751,2,218,100,7652,73,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
910,7.704316009029699e+17,24080000.0,20.0,15.0,13.0,1472836071.0,0.0,0.0,6,35,0,6,779,2,218,101,0,467,12,62,3,59008,11,3,4,3327,6,0,358,1,0
922,7.147112211830168e+18,35480000.0,22.0,16.0,1.0,1472853332.0,0.0,1.0,4,35,1,1,540,2,218,100,9910,73,12,62,3,59008,11,3,4,11,5,3196,208,1,1
925,6.664733704830725e+18,35080000.0,22.0,20.0,7.0,1472853995.0,0.0,0.0,6,35,0,3,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,242,447,1,0
930,6.045930241388777e+18,81500000.0,22.0,16.0,6.0,1472825504.0,0.0,0.0,4,35,0,20,955,2,218,122,41922,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
942,1.546626226233851e+18,546320000.0,24.0,21.0,3.0,1472837482.0,0.0,0.0,6,35,0,7,829,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
971,4.755168908070237e+18,63840000.0,27.0,22.0,2.0,1472849608.0,0.0,0.0,6,35,0,6,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
974,3.794016165791476e+18,117340000.0,28.0,20.0,1.0,1472832496.0,0.0,1.0,4,72,1,23,749,2,218,100,3048,73,12,62,3,59008,11,3,4,11,5,3196,208,1,1
976,3.1473303310514176e+17,43710000.0,28.0,21.0,1.0,1472879820.0,0.0,1.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
999,7.476900487333857e+17,34480000.0,33.0,24.0,2.0,1472823219.0,0.0,0.0,2,72,0,7,955,2,218,122,7652,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
1000,8.007300615127214e+18,35390000.0,34.0,30.0,3.0,1472850417.0,0.0,0.0,4,35,0,7,829,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,0
1008,8.516473451212466e+18,339030000.0,35.0,29.0,1.0,1472845932.0,0.0,1.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
