fullVisitorId,visitNumber,totals.pageviews,totals.transactionRevenue,totals.hits
0000213131142648941,1.0,13.0,33590000.0,14.0
0002871498069867123,15.0,29.0,96350000.0,38.0
0003450834640354121,38.0,208.0,57950000.0,291.0
0003961110741104601,3.0,26.0,4980000.0,33.0
000435324061339869,6.0,27.0,44790000.0,30.0
0006911334202687206,6.0,26.0,58500000.0,30.0
0007617910709180468,7.0,59.0,18990000.0,75.0
0007933257389091624,10.0,32.0,33590000.0,36.0
0010295111715775250,5.0,42.0,2390000.0,54.0
0012561433643490595,6.0,84.0,4390000.0,112.0
0013296981549010416,1.0,21.0,16990000.0,26.0
0014253006455543633,3.0,22.0,55990000.0,23.0
0014262055593378383,36.0,103.0,42680000.0,134.0
0015950283479889703,10.0,31.0,1500000.0,35.0
0018386080117189534,3.0,21.0,10990000.0,24.0
0018400544049332170,1.0,23.0,69990000.0,25.0
001905118576359487,6.0,34.0,17190000.0,35.0
0020342483972052451,3.0,111.0,95150000.0,149.0
0020502892485275044,9.0,117.0,770000.0,173.0
0021939395292136520,3.0,82.0,27950000.0,107.0
0024314485741511650,13.0,53.0,236750000.0,67.0
0024725579067754075,1.0,56.0,28760000.0,71.0
0024932550342595467,3.0,43.0,126890000.0,53.0
0026203741366904270,15.0,75.0,289070000.0,105.0
0026329820781202527,3.0,30.0,42930000.0,40.0
0027729301290398668,3.0,26.0,59170000.0,33.0
002838359588704338,1.0,23.0,15130000.0,26.0
0032285388804234573,1.0,26.0,139500000.0,28.0
0032288790526152703,1.0,8.0,21990000.0,9.0
0035322769016923863,1.0,90.0,374360000.0,116.0
0036194035121102485,3.0,19.0,241780000.0,21.0
0036417634769000138,10.0,72.0,120460000.0,92.0
0036515130282846944,3.0,63.0,83500000.0,71.0
0037518757923116572,9.0,31.0,15990000.0,43.0
0037806222406366969,1.0,21.0,16990000.0,23.0
0038111265827681261,3.0,64.0,19970000.0,84.0
0039541267107154262,6.0,70.0,91840000.0,91.0
0039844092206555576,3.0,32.0,43590000.0,41.0
0040332680018799680,1.0,65.0,35600000.0,88.0
0040361081244991496,15.0,89.0,144890000.0,127.0
0042057117403474149,1.0,17.0,27180000.0,21.0
0043984908262145271,3.0,15.0,87990000.0,18.0
0044869357011346837,1.0,29.0,57970000.0,33.0
0045204488424585972,3.0,9.0,59970000.0,11.0
0047078955120420928,1.0,21.0,43160000.0,28.0
0047471876951764213,1.0,16.0,13590000.0,18.0
0047509547902079820,14.0,129.0,21560000.0,169.0
0047868538532140235,45.0,86.0,117940000.0,98.0
0049832664882617771,3.0,26.0,44790000.0,29.0
0052757360225662149,6.0,28.0,70150000.0,30.0
0053010816158486672,6.0,37.0,56780000.0,42.0
0053077699040878872,1.0,11.0,18990000.0,13.0
005339642194263188,136.0,48.0,9470000.0,56.0
0053544367470918772,14.0,71.0,727380000.0,93.0
0054279989591037024,6.0,41.0,79190000.0,46.0
0057826677844639343,11.0,26.0,17590000.0,31.0
0059545191328861629,10.0,102.0,83770000.0,125.0
005987390541733447,1.0,37.0,25980000.0,42.0
0060402135554655326,44.0,201.0,383180000.0,275.0
0060552898118020687,21.0,104.0,135130000.0,135.0
0060873674881142784,24.0,46.0,39170000.0,54.0
0061519776091452595,6.0,67.0,13430000.0,88.0
0062398744583501057,1.0,57.0,25170000.0,83.0
0063706256894298571,3.0,24.0,91970000.0,54.0
0067566216922331849,3.0,15.0,38380000.0,18.0
0068546456225736307,10.0,49.0,14970000.0,60.0
0068590151265795437,6.0,96.0,621750000.0,112.0
0069147671341681060,3.0,36.0,31170000.0,49.0
0069780920436052632,28.0,53.0,479600000.0,66.0
0069975515256019300,3.0,54.0,46370000.0,79.0
0070976956518566605,15.0,156.0,366660000.0,228.0
0071731629789524187,1.0,18.0,54970000.0,25.0
0071915269577377513,6.0,64.0,132510000.0,83.0
0074650632244292633,10.0,36.0,15390000.0,44.0
0074766195217803929,1.0,45.0,176900000.0,66.0
0075449012662152580,15.0,51.0,38620000.0,65.0
0076529729049367813,28.0,38.0,59990000.0,44.0
0079363053947930450,1.0,62.0,34910000.0,81.0
0080479763428955064,6.0,43.0,141960000.0,51.0
0081840705529000272,42.0,74.0,119960000.0,85.0
0082806901961150595,1.0,51.0,169270000.0,75.0
0083964139069484153,1.0,19.0,19190000.0,22.0
0084383590795093998,1.0,21.0,64360000.0,26.0
0084741906853491251,20.0,55.0,87990000.0,83.0
0084834161383601528,25.0,69.0,40480000.0,93.0
0085057281729508802,273.0,184.0,34370000.0,238.0
008803033727416939,1.0,13.0,18990000.0,16.0
0088657980877164102,1.0,14.0,67190000.0,14.0
0090053188432158994,10.0,38.0,33590000.0,41.0
009046037663524262,15.0,70.0,140760000.0,87.0
0091725120799498455,3.0,24.0,15190000.0,34.0
0091992348252102887,9.0,67.0,78640000.0,90.0
0092577710025173656,10.0,151.0,1148990000.0,191.0
0092787485928461155,3.0,16.0,73900000.0,22.0
0095747507496204221,15.0,26.0,2365500000.0,28.0
0097216552247524030,15.0,88.0,26480000.0,117.0
0097371986665596420,66.0,159.0,472280000.0,217.0
0097563825178820508,3.0,19.0,28780000.0,23.0
0099448207973363509,1.0,13.0,16990000.0,13.0
0101246539776970727,319.0,298.0,294580000.0,417.0
0102127042498450827,3.0,36.0,38360000.0,42.0
0102527091741838919,14.0,58.0,123160000.0,76.0
0102967551018757579,1.0,43.0,54930000.0,62.0
0103234801488366057,1.0,26.0,69920000.0,32.0
0103488992784926412,7.0,28.0,63940000.0,30.0
0105953259825061684,21.0,34.0,33590000.0,38.0
0106737648841708519,1.0,21.0,71990000.0,23.0
0109278995741921995,3.0,34.0,72870000.0,40.0
0110237584337011595,3.0,77.0,1951550000.0,94.0
